antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'MODEL Y'}),"frozenset({'TESLA', 'Battery Electric Vehicle BEV'})",0.20953504860790576,0.4347873671788381,0.20953504860790576,1.0,2.299974827899443,1.0,0.11843185649198455,inf,0.7150381959703102,0.48192533736086934,1.0,0.7409626686804347
"frozenset({'Eligibility unknown as battery range has not been researched', 'King', 'WA'})",frozenset({'Battery Electric Vehicle BEV'}),0.2993323848090183,0.7877430990097597,0.2993323848090183,1.0,1.2694493944244767,1.0,0.0635353643655803,inf,0.30293522404683315,0.37998731462744273,1.0,0.6899936573137213
"frozenset({'TESLA', 'Battery Electric Vehicle BEV', 'King'})",frozenset({'WA'}),0.2384428339622462,0.9979395767805055,0.2384428339622462,1.0,1.002064677328603,1.0,0.0004912931516178887,inf,0.0027055397958035575,0.23893514147569592,1.0,0.619467570737848
"frozenset({'MODEL Y', 'Battery Electric Vehicle BEV'})",frozenset({'TESLA'}),0.20953504860790576,0.4347873671788381,0.20953504860790576,1.0,2.299974827899443,1.0,0.11843185649198455,inf,0.7150381959703102,0.48192533736086934,1.0,0.7409626686804347
"frozenset({'TESLA', 'Eligibility unknown as battery range has not been researched', 'WA'})",frozenset({'Battery Electric Vehicle BEV'}),0.314473878306551,0.7877430990097597,0.314473878306551,1.0,1.2694493944244767,1.0,0.06674925085173047,inf,0.3096262772101288,0.3992086743785678,1.0,0.6996043371892838
"frozenset({'Eligibility unknown as battery range has not been researched', 'King'})",frozenset({'WA'}),0.2993323848090183,0.9979395767805055,0.2993323848090183,1.0,1.002064677328603,1.0,0.0006167513960071425,inf,0.0029406571316027163,0.2999504095976502,1.0,0.6499752047988251
"frozenset({'Eligibility unknown as battery range has not been researched', 'King'})","frozenset({'Battery Electric Vehicle BEV', 'WA'})",0.2993323848090183,0.7862679692221307,0.2993323848090183,1.0,1.2718310285351166,1.0,0.06397691848281412,inf,0.30504054439509404,0.38070021484552313,1.0,0.6903501074227616
"frozenset({'Eligibility unknown as battery range has not been researched', 'King'})",frozenset({'Battery Electric Vehicle BEV'}),0.2993323848090183,0.7877430990097597,0.2993323848090183,1.0,1.2694493944244767,1.0,0.0635353643655803,inf,0.30293522404683315,0.37998731462744273,1.0,0.6899936573137213
"frozenset({'TESLA', 'Eligibility unknown as battery range has not been researched'})",frozenset({'Battery Electric Vehicle BEV'}),0.31514958291894873,0.7877430990097597,0.31514958291894873,1.0,1.2694493944244767,1.0,0.06689267381874284,inf,0.3099317685968788,0.4000664471895859,1.0,0.7000332235947929
"frozenset({'Eligibility unknown as battery range has not been researched', '2023'})",frozenset({'Battery Electric Vehicle BEV'}),0.24916369658007814,0.7877430990097597,0.24916369658007814,1.0,1.2694493944244767,1.0,0.052886714075359914,inf,0.28269397740019886,0.3163007037361442,1.0,0.6581503518680721
"frozenset({'Battery Electric Vehicle BEV', 'Eligibility unknown as battery range has not been researched', 'King'})",frozenset({'WA'}),0.2993323848090183,0.9979395767805055,0.2993323848090183,1.0,1.002064677328603,1.0,0.0006167513960071425,inf,0.0029406571316027163,0.2999504095976502,1.0,0.6499752047988251
"frozenset({'Eligibility unknown as battery range has not been researched', 'WA'})",frozenset({'Battery Electric Vehicle BEV'}),0.5635424052229111,0.7877430990097597,0.5635424052229111,1.0,1.2694493944244767,1.0,0.1196157645092013,inf,0.4863173502540282,0.7153885650427375,1.0,0.8576942825213687
"frozenset({'2023', 'Battery Electric Vehicle BEV', 'WA'})",frozenset({'Eligibility unknown as battery range has not been researched'}),0.24873543309334717,0.5645892715238091,0.24873543309334717,1.0,1.771199083009549,1.0,0.10830207612101514,inf,0.579570430519575,0.44055997100691946,1.0,0.7202799855034598
"frozenset({'TESLA', 'King'})",frozenset({'Battery Electric Vehicle BEV'}),0.2384428339622462,0.7877430990097597,0.2384428339622462,1.0,1.2694493944244767,1.0,0.05061113700015679,inf,0.2787143374864097,0.3026911111782295,1.0,0.6513455555891148
"frozenset({'Battery Electric Vehicle BEV', 'King'})",frozenset({'WA'}),0.41285075969184065,0.9979395767805055,0.41285075969184065,1.0,1.002064677328603,1.0,0.000850647291455009,inf,0.0035091984763756133,0.41370316329547296,1.0,0.7068515816477365
"frozenset({'Eligibility unknown as battery range has not been researched', '2023', 'WA'})",frozenset({'Battery Electric Vehicle BEV'}),0.24873543309334717,0.7877430990097597,0.24873543309334717,1.0,1.2694493944244767,1.0,0.052795812194859126,inf,0.28253282577163513,0.3157570449122594,1.0,0.6578785224561298
"frozenset({'Battery Electric Vehicle BEV', '2023'})",frozenset({'Eligibility unknown as battery range has not been researched'}),0.24916369658007814,0.5645892715238091,0.24916369658007814,1.0,1.771199083009549,1.0,0.10848854663775243,inf,0.5799010070410484,0.4413185109019038,1.0,0.720659255450952
"frozenset({'MODEL Y', 'WA'})",frozenset({'TESLA'}),0.20907823422205937,0.4347873671788381,0.20907823422205937,1.0,2.299974827899443,1.0,0.11817365923024974,inf,0.7146252098211332,0.48087467577240045,1.0,0.7404373378862001
"frozenset({'TESLA', 'King', 'WA'})",frozenset({'Battery Electric Vehicle BEV'}),0.2384428339622462,0.7877430990097597,0.2384428339622462,1.0,1.2694493944244767,1.0,0.05061113700015679,inf,0.2787143374864097,0.3026911111782295,1.0,0.6513455555891148
"frozenset({'MODEL Y', 'Battery Electric Vehicle BEV', 'WA'})",frozenset({'TESLA'}),0.20907823422205937,0.4347873671788381,0.20907823422205937,1.0,2.299974827899443,1.0,0.11817365923024974,inf,0.7146252098211332,0.48087467577240045,1.0,0.7404373378862001
frozenset({'Eligibility unknown as battery range has not been researched'}),frozenset({'Battery Electric Vehicle BEV'}),0.5645892715238091,0.7877430990097597,0.5645892715238091,1.0,1.2694493944244767,1.0,0.11983796910598105,inf,0.48748661231448487,0.716717508834456,1.0,0.858358754417228
"frozenset({'MODEL Y', 'WA'})","frozenset({'TESLA', 'Battery Electric Vehicle BEV'})",0.20907823422205937,0.4347873671788381,0.20907823422205937,1.0,2.299974827899443,1.0,0.11817365923024974,inf,0.7146252098211332,0.48087467577240045,1.0,0.7404373378862001
"frozenset({'TESLA', 'WA'})",frozenset({'Battery Electric Vehicle BEV'}),0.4337738102602414,0.7877430990097597,0.4337738102602414,1.0,1.2694493944244767,1.0,0.09207148469656734,inf,0.37486238686309264,0.5506539007520613,1.0,0.7753269503760307
frozenset({'MODEL Y'}),frozenset({'Battery Electric Vehicle BEV'}),0.20953504860790576,0.7877430990097597,0.20953504860790576,1.0,1.2694493944244767,1.0,0.04447526006635344,inf,0.2685215841846409,0.26599414056600923,1.0,0.6329970702830046
frozenset({'TESLA'}),frozenset({'Battery Electric Vehicle BEV'}),0.4347873671788381,0.7877430990097597,0.4347873671788381,1.0,1.2694493944244767,1.0,0.09228661914708591,inf,0.37553460178481224,0.5519405599685885,1.0,0.7759702799842942
"frozenset({'TESLA', 'King'})","frozenset({'Battery Electric Vehicle BEV', 'WA'})",0.2384428339622462,0.7862679692221307,0.2384428339622462,1.0,1.2718310285351166,1.0,0.050962871127181175,inf,0.28065132902613066,0.3032589947650316,1.0,0.6516294973825159
"frozenset({'TESLA', 'King'})",frozenset({'WA'}),0.2384428339622462,0.9979395767805055,0.2384428339622462,1.0,1.002064677328603,1.0,0.0004912931516178887,inf,0.0027055397958035575,0.23893514147569592,1.0,0.619467570737848
"frozenset({'MODEL Y', 'TESLA'})",frozenset({'Battery Electric Vehicle BEV'}),0.20953504860790576,0.7877430990097597,0.20953504860790576,1.0,1.2694493944244767,1.0,0.04447526006635344,inf,0.2685215841846409,0.26599414056600923,1.0,0.6329970702830046
"frozenset({'MODEL Y', 'TESLA', 'WA'})",frozenset({'Battery Electric Vehicle BEV'}),0.20907823422205937,0.7877430990097597,0.20907823422205937,1.0,1.2694493944244767,1.0,0.04437829806048593,inf,0.26836649359556713,0.26541423782053214,1.0,0.6327071189102661
frozenset({'King'}),frozenset({'WA'}),0.5097001679744565,0.9979395767805055,0.5097001679744565,1.0,1.002064677328603,1.0,0.0010501980610748696,inf,0.0042023739045198355,0.5107525343556586,1.0,0.7553762671778292
frozenset({'MODEL Y'}),frozenset({'TESLA'}),0.20953504860790576,0.4347873671788381,0.20953504860790576,1.0,2.299974827899443,1.0,0.11843185649198455,inf,0.7150381959703102,0.48192533736086934,1.0,0.7409626686804347
"frozenset({'MODEL Y', 'WA'})",frozenset({'Battery Electric Vehicle BEV'}),0.20907823422205937,0.7877430990097597,0.20907823422205937,1.0,1.2694493944244767,1.0,0.04437829806048593,inf,0.26836649359556713,0.26541423782053214,1.0,0.6327071189102661
"frozenset({'Eligibility unknown as battery range has not been researched', '2023'})",frozenset({'WA'}),0.24916369658007814,0.9979395767805055,0.24873543309334717,0.998281196287384,1.0003423248409293,1.0,8.511917915771106e-05,1.1987542291019113,0.00045576871173650584,0.2491420727522306,0.16580064893770183,0.6237650938951296
"frozenset({'Battery Electric Vehicle BEV', '2023'})","frozenset({'Eligibility unknown as battery range has not been researched', 'WA'})",0.24916369658007814,0.5635424052229111,0.24873543309334717,0.998281196287384,1.7714393575981393,1.0,0.10832112422837831,253.9310286413113,0.5800029996993404,0.4410432082619664,0.9960619227774147,0.7198297874469877
"frozenset({'Eligibility unknown as battery range has not been researched', '2023'})","frozenset({'Battery Electric Vehicle BEV', 'WA'})",0.24916369658007814,0.7862679692221307,0.24873543309334717,0.998281196287384,1.2696450006414504,1.0,0.052825999379449984,124.34929550656483,0.28285561399453724,0.3161772266747316,0.9919581369888243,0.6573153189958117
"frozenset({'Battery Electric Vehicle BEV', '2023'})",frozenset({'WA'}),0.24916369658007814,0.9979395767805055,0.24873543309334717,0.998281196287384,1.0003423248409293,1.0,8.511917915771106e-05,1.1987542291019113,0.00045576871173650584,0.2491420727522306,0.16580064893770183,0.6237650938951296
"frozenset({'Eligibility unknown as battery range has not been researched', 'Battery Electric Vehicle BEV', '2023'})",frozenset({'WA'}),0.24916369658007814,0.9979395767805055,0.24873543309334717,0.998281196287384,1.0003423248409293,1.0,8.511917915771106e-05,1.1987542291019113,0.00045576871173650584,0.2491420727522306,0.16580064893770183,0.6237650938951296
frozenset({'2023'}),frozenset({'WA'}),0.28583256801062096,0.9979395767805055,0.28532816879291556,0.9982353332889391,1.0002963671501914,1.0,8.453684231141123e-05,1.1675990749866882,0.0004148597786117232,0.28577283818819577,0.14354163049383978,0.6420763063415866
frozenset({'Eligibility unknown as battery range has not been researched'}),frozenset({'WA'}),0.5645892715238091,0.9979395767805055,0.5635424052229111,0.9981457913678159,1.0002066403538936,1.0,0.0001164265436270906,1.111214338953595,0.0004744891408681257,0.5641141670397926,0.10008360678491868,0.7814258649092486
"frozenset({'Eligibility unknown as battery range has not been researched', 'Battery Electric Vehicle BEV'})",frozenset({'WA'}),0.5645892715238091,0.9979395767805055,0.5635424052229111,0.9981457913678159,1.0002066403538936,1.0,0.0001164265436270906,1.111214338953595,0.0004744891408681257,0.5641141670397926,0.10008360678491868,0.7814258649092486
frozenset({'Eligibility unknown as battery range has not been researched'}),"frozenset({'Battery Electric Vehicle BEV', 'WA'})",0.5645892715238091,0.7862679692221307,0.5635424052229111,0.9981457913678159,1.2694727884633272,1.0,0.11962394525728354,115.268598726191,0.4875199524447358,0.7157777039074068,0.9913246104225193,0.8574382541128123
frozenset({'Battery Electric Vehicle BEV'}),frozenset({'WA'}),0.7877430990097597,0.9979395767805055,0.7862679692221307,0.9981273973843969,1.0001882083928342,1.0,0.0001479543845672726,1.1002992318426057,0.0008865340830973822,0.7867284362085055,0.09115632269836317,0.8930093781283936
"frozenset({'Battery Electric Vehicle BEV', 'Clean Alternative Fuel Vehicle Eligible'})",frozenset({'WA'}),0.22311575962046337,0.9979395767805055,0.2226874961337324,0.9980805323323665,1.0001412465795934,1.0,3.1449405026195976e-05,1.0734347101739838,0.00018178593987904222,0.22305155189506595,0.06841097039062706,0.6106139031453648
"frozenset({'TESLA', 'Eligibility unknown as battery range has not been researched', 'Battery Electric Vehicle BEV'})",frozenset({'WA'}),0.31514958291894873,0.9979395767805055,0.314473878306551,0.9978559241419922,0.9999161746457805,1.0,-2.6363094137504817e-05,0.9609842915767847,-0.00012239478689271576,0.3149099399599733,-0.04059973588038389,0.6564895447677603
"frozenset({'TESLA', 'Eligibility unknown as battery range has not been researched'})","frozenset({'Battery Electric Vehicle BEV', 'WA'})",0.31514958291894873,0.7862679692221307,0.314473878306551,0.9978559241419922,1.2691041263313694,1.0,0.06668185574366767,99.68492018582855,0.30961883796814293,0.3996142147940766,0.9899683924295085,0.69890678011802
"frozenset({'TESLA', 'Eligibility unknown as battery range has not been researched'})",frozenset({'WA'}),0.31514958291894873,0.9979395767805055,0.314473878306551,0.9978559241419922,0.9999161746457805,1.0,-2.6363094137504817e-05,0.9609842915767847,-0.00012239478689271576,0.3149099399599733,-0.04059973588038389,0.6564895447677603
frozenset({'MODEL Y'}),"frozenset({'TESLA', 'WA'})",0.20953504860790576,0.4337738102602414,0.20907823422205937,0.997819866466821,2.3003229860008876,1.0,0.11818741780434319,259.72087540624096,0.7151214455376247,0.48149122230258407,0.9961497126542644,0.7399090775762
"frozenset({'MODEL Y', 'TESLA', 'Battery Electric Vehicle BEV'})",frozenset({'WA'}),0.20953504860790576,0.9979395767805055,0.20907823422205937,0.997819866466821,0.9998800425231448,1.0,-2.5083506396739175e-05,0.9450903754918357,-0.00015175076686633582,0.20941405244645256,-0.05809986635361579,0.6036648898894915
"frozenset({'MODEL Y', 'TESLA'})",frozenset({'WA'}),0.20953504860790576,0.9979395767805055,0.20907823422205937,0.997819866466821,0.9998800425231448,1.0,-2.5083506396739175e-05,0.9450903754918357,-0.00015175076686633582,0.20941405244645256,-0.05809986635361579,0.6036648898894915
"frozenset({'MODEL Y', 'TESLA'})","frozenset({'Battery Electric Vehicle BEV', 'WA'})",0.20953504860790576,0.7862679692221307,0.20907823422205937,0.997819866466821,1.2690582670612698,1.0,0.044327537072260864,98.03621086741842,0.2682144425958761,0.2657577828719357,0.9897996873690643,0.6318660260708844
"frozenset({'MODEL Y', 'Battery Electric Vehicle BEV'})","frozenset({'TESLA', 'WA'})",0.20953504860790576,0.4337738102602414,0.20907823422205937,0.997819866466821,2.3003229860008876,1.0,0.11818741780434319,259.72087540624096,0.7151214455376247,0.48149122230258407,0.9961497126542644,0.7399090775762
frozenset({'MODEL Y'}),"frozenset({'TESLA', 'Battery Electric Vehicle BEV', 'WA'})",0.20953504860790576,0.4337738102602414,0.20907823422205937,0.997819866466821,2.3003229860008876,1.0,0.11818741780434319,259.72087540624096,0.7151214455376247,0.48149122230258407,0.9961497126542644,0.7399090775762
frozenset({'MODEL Y'}),"frozenset({'Battery Electric Vehicle BEV', 'WA'})",0.20953504860790576,0.7862679692221307,0.20907823422205937,0.997819866466821,1.2690582670612698,1.0,0.044327537072260864,98.03621086741842,0.2682144425958761,0.2657577828719357,0.9897996873690643,0.6318660260708844
"frozenset({'MODEL Y', 'Battery Electric Vehicle BEV'})",frozenset({'WA'}),0.20953504860790576,0.9979395767805055,0.20907823422205937,0.997819866466821,0.9998800425231448,1.0,-2.5083506396739175e-05,0.9450903754918357,-0.00015175076686633582,0.20941405244645256,-0.05809986635361579,0.6036648898894915
frozenset({'MODEL Y'}),frozenset({'WA'}),0.20953504860790576,0.9979395767805055,0.20907823422205937,0.997819866466821,0.9998800425231448,1.0,-2.5083506396739175e-05,0.9450903754918357,-0.00015175076686633582,0.20941405244645256,-0.05809986635361579,0.6036648898894915
frozenset({'Clean Alternative Fuel Vehicle Eligible'}),frozenset({'WA'}),0.3332270605421816,0.9979395767805055,0.33249425413155304,0.9978008796481407,0.9998610165028105,1.0,-4.6217637723555693e-05,0.9369306312646597,-0.00020842754114296853,0.3329362659144621,-0.06731487543555913,0.6654908135640449
frozenset({'TESLA'}),"frozenset({'Battery Electric Vehicle BEV', 'WA'})",0.4347873671788381,0.7862679692221307,0.4337738102602414,0.9976688446005844,1.2688661927658027,1.0,0.09191443002509952,91.68502058311782,0.37489401839786574,0.5509767419370436,0.9890930929213956,0.7746779179277319
"frozenset({'TESLA', 'Battery Electric Vehicle BEV'})",frozenset({'WA'}),0.4347873671788381,0.9979395767805055,0.4337738102602414,0.9976688446005844,0.9997287088454848,1.0,-0.00011771093171852876,0.8838635210724284,-0.00047988055282238023,0.434228389327922,-0.1313963934009386,0.7161691289063059
frozenset({'TESLA'}),frozenset({'WA'}),0.4347873671788381,0.9979395767805055,0.4337738102602414,0.9976688446005844,0.9997287088454848,1.0,-0.00011771093171852876,0.8838635210724284,-0.00047988055282238023,0.434228389327922,-0.1313963934009386,0.7161691289063059
frozenset({'Plug-in Hybrid Electric Vehicle PHEV'}),frozenset({'WA'}),0.21225690099024036,0.9979395767805055,0.2116716075583747,0.9972425234273415,0.999301507456581,1.0,-0.00014795438456743915,0.74721331812008,-0.0008865340830983798,0.2119843119314147,-0.33830591044055275,0.6046755822774755
"frozenset({'2023', 'WA'})",frozenset({'Eligibility unknown as battery range has not been researched'}),0.28532816879291556,0.5645892715238091,0.24873543309334717,0.8717521096694574,1.5440465372581826,1.0,0.08764221012933252,3.395071274497967,0.49302506609247077,0.4137439745446774,0.7054553736437033,0.6561560403381885
"frozenset({'2023', 'WA'})",frozenset({'Battery Electric Vehicle BEV'}),0.28532816879291556,0.7877430990097597,0.24873543309334717,0.8717521096694574,1.1066451877081527,1.0,0.023970137173636052,1.6550517941712346,0.1348423145290153,0.301740410425145,0.395789301868496,0.5937545772908585
"frozenset({'2023', 'WA'})","frozenset({'Eligibility unknown as battery range has not been researched', 'Battery Electric Vehicle BEV'})",0.28532816879291556,0.5645892715238091,0.24873543309334717,0.8717521096694574,1.5440465372581826,1.0,0.08764221012933252,3.395071274497967,0.49302506609247077,0.4137439745446774,0.7054553736437033,0.6561560403381885
frozenset({'2023'}),"frozenset({'Eligibility unknown as battery range has not been researched', 'Battery Electric Vehicle BEV'})",0.28583256801062096,0.5645892715238091,0.24916369658007814,0.8717120596657122,1.5439756007282748,1.0,0.08778569522918203,3.3940113727105934,0.49333161301663736,0.41440386213446234,0.7053633915194103,0.6565152852838081
frozenset({'2023'}),frozenset({'Battery Electric Vehicle BEV'}),0.28583256801062096,0.7877430990097597,0.24916369658007814,0.8717120596657122,1.1065943462551515,1.0,0.024001063657473676,1.6545351062395217,0.13487941762430136,0.30223202174879216,0.39560061540620267,0.5940063817009282
frozenset({'2023'}),frozenset({'Eligibility unknown as battery range has not been researched'}),0.28583256801062096,0.5645892715238091,0.24916369658007814,0.8717120596657122,1.5439756007282748,1.0,0.08778569522918203,3.3940113727105934,0.49333161301663736,0.41440386213446234,0.7053633915194103,0.6565152852838081
frozenset({'2023'}),"frozenset({'Eligibility unknown as battery range has not been researched', 'Battery Electric Vehicle BEV', 'WA'})",0.28583256801062096,0.5635424052229111,0.24873543309334717,0.8702137577412266,1.54418505098478,1.0,0.08765666022560051,3.3628956904912988,0.49345462320358635,0.41411764705882353,0.7026372233823566,0.655796068173909
frozenset({'2023'}),"frozenset({'Eligibility unknown as battery range has not been researched', 'WA'})",0.28583256801062096,0.5635424052229111,0.24873543309334717,0.8702137577412266,1.54418505098478,1.0,0.08765666022560051,3.3628956904912988,0.49345462320358635,0.41411764705882353,0.7026372233823566,0.655796068173909
frozenset({'2023'}),"frozenset({'Battery Electric Vehicle BEV', 'WA'})",0.28583256801062096,0.7862679692221307,0.24873543309334717,0.8702137577412266,1.106764858553433,1.0,0.02399444030608966,1.646800362335178,0.13507436251563285,0.30209615618010643,0.3927618533056485,0.593281599722733
"frozenset({'King', 'WA'})",frozenset({'Battery Electric Vehicle BEV'}),0.5097001679744565,0.7877430990097597,0.41285075969184065,0.8099874899639636,1.0282381286261555,1.0,0.011337969805847226,1.1170680338362207,0.056011920476259656,0.4667129285952512,0.10479937684205966,0.6670403184212279
frozenset({'King'}),frozenset({'Battery Electric Vehicle BEV'}),0.5097001679744565,0.7877430990097597,0.41285075969184065,0.8099874899639636,1.0282381286261555,1.0,0.011337969805847226,1.1170680338362207,0.056011920476259656,0.4667129285952512,0.10479937684205966,0.6670403184212279
frozenset({'King'}),"frozenset({'Battery Electric Vehicle BEV', 'WA'})",0.5097001679744565,0.7862679692221307,0.41285075969184065,0.8099874899639636,1.0301672224614453,1.0,0.012089843706385828,1.1248313636682892,0.05972633336025097,0.46749251029161376,0.11097784761369957,0.6675319481471709
frozenset({'WA'}),frozenset({'Battery Electric Vehicle BEV'}),0.9979395767805055,0.7877430990097597,0.7862679692221307,0.7878913588723905,1.0001882083928342,1.0,0.0001479543845672726,1.0006989807762787,0.09132734251880516,0.7867284362085055,0.0006984925434184169,0.8930093781283936
"frozenset({'Battery Electric Vehicle BEV', 'King'})","frozenset({'Eligibility unknown as battery range has not been researched', 'WA'})",0.41285075969184065,0.5635424052229111,0.2993323848090183,0.7250377473749726,1.2865717657718792,1.0,0.06667347469417234,1.5873364093081408,0.37935942638505327,0.44210563306040707,0.37001382055120774,0.6280999391359829
"frozenset({'Battery Electric Vehicle BEV', 'King', 'WA'})",frozenset({'Eligibility unknown as battery range has not been researched'}),0.41285075969184065,0.5645892715238091,0.2993323848090183,0.7250377473749726,1.2841861932978607,1.0,0.06624127514655082,1.5835291001560527,0.376900292925733,0.4414231079611243,0.36849913279051677,0.6276074964318836
"frozenset({'Battery Electric Vehicle BEV', 'King'})",frozenset({'Eligibility unknown as battery range has not been researched'}),0.41285075969184065,0.5645892715238091,0.2993323848090183,0.7250377473749726,1.2841861932978607,1.0,0.06624127514655082,1.5835291001560527,0.376900292925733,0.4414231079611243,0.36849913279051677,0.6276074964318836
"frozenset({'TESLA', 'Battery Electric Vehicle BEV', 'WA'})",frozenset({'Eligibility unknown as battery range has not been researched'}),0.4337738102602414,0.5645892715238091,0.314473878306551,0.7249720265911933,1.284069788705896,1.0,0.06956983876561429,1.5831506994708073,0.39070274917823417,0.45983161703312,0.3683481930467734,0.6409839357391065
"frozenset({'TESLA', 'WA'})",frozenset({'Eligibility unknown as battery range has not been researched'}),0.4337738102602414,0.5645892715238091,0.314473878306551,0.7249720265911933,1.284069788705896,1.0,0.06956983876561429,1.5831506994708073,0.39070274917823417,0.45983161703312,0.3683481930467734,0.6409839357391065
"frozenset({'TESLA', 'WA'})","frozenset({'Eligibility unknown as battery range has not been researched', 'Battery Electric Vehicle BEV'})",0.4337738102602414,0.5645892715238091,0.314473878306551,0.7249720265911933,1.284069788705896,1.0,0.06956983876561429,1.5831506994708073,0.39070274917823417,0.45983161703312,0.3683481930467734,0.6409839357391065
"frozenset({'TESLA', 'Battery Electric Vehicle BEV'})",frozenset({'Eligibility unknown as battery range has not been researched'}),0.4347873671788381,0.5645892715238091,0.31514958291894873,0.7248361077365904,1.2838290493552595,1.0,0.06967330001569363,1.5823686926894454,0.39114500113009526,0.46059210938097644,0.3680360306545452,0.6415143800067371
frozenset({'TESLA'}),"frozenset({'Eligibility unknown as battery range has not been researched', 'Battery Electric Vehicle BEV'})",0.4347873671788381,0.5645892715238091,0.31514958291894873,0.7248361077365904,1.2838290493552595,1.0,0.06967330001569363,1.5823686926894454,0.39114500113009526,0.46059210938097644,0.3680360306545452,0.6415143800067371
frozenset({'TESLA'}),frozenset({'Eligibility unknown as battery range has not been researched'}),0.4347873671788381,0.5645892715238091,0.31514958291894873,0.7248361077365904,1.2838290493552595,1.0,0.06967330001569363,1.5823686926894454,0.39114500113009526,0.46059210938097644,0.3680360306545452,0.6415143800067371
"frozenset({'TESLA', 'Battery Electric Vehicle BEV'})","frozenset({'Eligibility unknown as battery range has not been researched', 'WA'})",0.4347873671788381,0.5635424052229111,0.314473878306551,0.72328200413698,1.2834562180833282,1.0,0.06945275964605158,1.5772649459095627,0.3907446765877834,0.45985401459854014,0.36599110847332683,0.6406562770433695
frozenset({'TESLA'}),"frozenset({'Eligibility unknown as battery range has not been researched', 'Battery Electric Vehicle BEV', 'WA'})",0.4347873671788381,0.5635424052229111,0.314473878306551,0.72328200413698,1.2834562180833282,1.0,0.06945275964605158,1.5772649459095627,0.3907446765877834,0.45985401459854014,0.36599110847332683,0.6406562770433695
frozenset({'TESLA'}),"frozenset({'Eligibility unknown as battery range has not been researched', 'WA'})",0.4347873671788381,0.5635424052229111,0.314473878306551,0.72328200413698,1.2834562180833282,1.0,0.06945275964605158,1.5772649459095627,0.3907446765877834,0.45985401459854014,0.36599110847332683,0.6406562770433695
"frozenset({'Battery Electric Vehicle BEV', 'WA'})",frozenset({'Eligibility unknown as battery range has not been researched'}),0.7862679692221307,0.5645892715238091,0.5635424052229111,0.7167307168578085,1.2694727884633272,1.0,0.11962394525728354,1.5370912216331964,0.9931661476667156,0.7157777039074068,0.3494205249982002,0.8574382541128123
frozenset({'Battery Electric Vehicle BEV'}),frozenset({'Eligibility unknown as battery range has not been researched'}),0.7877430990097597,0.5645892715238091,0.5645892715238091,0.716717508834456,1.2694493944244767,1.0,0.11983796910598105,1.5370195548786898,1.0,0.716717508834456,0.3493901903681859,0.858358754417228
frozenset({'Battery Electric Vehicle BEV'}),"frozenset({'Eligibility unknown as battery range has not been researched', 'WA'})",0.7877430990097597,0.5635424052229111,0.5635424052229111,0.7153885650427375,1.2694493944244767,1.0,0.1196157645092013,1.5335209382666855,0.9999999999999999,0.7153885650427375,0.34790587135361567,0.8576942825213687
